V_vs_Li,Q_mAh
0.0882208,0.0616403
0.0882675,0.0618686
0.0882853,0.0620969
0.0883469,0.0623252
0.0884047,0.0625535
0.0885197,0.0627818
0.0885293,0.0630101
0.0886235,0.0632384
0.0886153,0.0634667
0.0886976,0.063695
0.0887837,0.0639233
0.0888178,0.0641516
0.0888667,0.0643799
0.0888645,0.0646081
0.0889483,0.0648364
0.0890209,0.0650647
0.0890854,0.065293
0.0891099,0.0655213
0.0891952,0.0657496
0.0892449,0.0659779
0.0892894,0.0662062
0.0893383,0.0664345
0.089365,0.0666628
0.0893746,0.0668911
0.0894229,0.0671194
0.0895259,0.0673477
0.089563,0.067576
0.0895852,0.0678043
0.0896001,0.0680326
0.0896846,0.0682609
0.0897365,0.0684892
0.0897662,0.0687175
0.0898173,0.0689458
0.0898173,0.0691741
0.0899234,0.0694024
0.0899634,0.0696307
0.0899879,0.069859
0.0900569,0.0700873
0.090048,0.0703156
0.0900813,0.0705439
0.0901911,0.0707722
0.090177,0.0710005
0.0902282,0.0712288
0.0902489,0.0714571
0.0903031,0.0716854
0.0903676,0.0719137
0.0903883,0.072142
0.0904388,0.0723703
0.0904936,0.0725986
0.090501,0.0728269
0.0905767,0.0730552
0.0906167,0.0732835
0.0906293,0.0735118
0.0906864,0.0737401
0.0907376,0.0739684
0.0907725,0.0741967
0.0907925,0.074425
0.0908503,0.0746533
0.0908844,0.0748816
0.0908993,0.0751099
0.0909193,0.0753381
0.0909586,0.0755664
0.0910223,0.0757947
0.0910728,0.076023
0.0910401,0.0762513
0.0911032,0.0764796
0.091144,0.0767079
0.0911855,0.0769362
0.0912389,0.0771645
0.0912433,0.0773928
0.0912582,0.0776211
0.0913153,0.0778494
0.0913457,0.0780777
0.0914146,0.078306
0.0914287,0.0785343
0.0914287,0.0787626
0.0914917,0.0789909
0.0915095,0.0792192
0.0915622,0.0794475
0.0915844,0.0796758
0.0916245,0.0799041
0.0916675,0.0801324
0.0916771,0.0803607
0.0916957,0.080589
0.0917491,0.0808173
0.091772,0.0810456
0.0917602,0.0812739
0.091821,0.0815022
0.091864,0.0817305
0.091844,0.0819588
0.0919196,0.0821871
0.0919211,0.0824154
0.0919611,0.0826437
0.0920004,0.082872
0.0920434,0.0831003
0.0920375,0.0833286
0.0920509,0.0835569
0.0921043,0.0837852
0.0921102,0.0840135
0.0921665,0.0842418
0.0921821,0.0844701
0.0922014,0.0846984
0.0922429,0.0849267
0.0922674,0.085155
0.092303,0.0853833
0.0923074,0.0856116
0.0923549,0.0858399
0.0923527,0.0860681
0.0923905,0.0862964
0.0924135,0.0865247
0.0924639,0.086753
0.0924817,0.0869813
0.0925299,0.0872096
0.0924973,0.0874379
0.092521,0.0876662
0.0926048,0.0878945
0.092627,0.0881228
0.0926389,0.0883511
0.092633,0.0885794
0.0926886,0.0888077
0.0926819,0.089036
0.0927294,0.0892643
0.0927524,0.0894926
0.0927813,0.0897209
0.0927605,0.0899492
0.0928228,0.0901775
0.0928184,0.0904058
0.0928577,0.0906341
0.0929199,0.0908624
0.092868,0.0910907
0.0929548,0.091319
0.0929518,0.0915473
0.0929548,0.0917756
0.0930097,0.0920039
0.0930401,0.0922322
0.0930505,0.0924605
0.0930794,0.0926888
0.0930905,0.0929171
0.0931031,0.0931454
0.0931224,0.0933737
0.0931409,0.093602
0.0931735,0.0938303
0.0931743,0.0940586
0.0932129,0.0942869
0.0932633,0.0945152
0.0932766,0.0947435
0.0932529,0.0949718
0.0933196,0.0952001
0.0933026,0.0954284
0.0933389,0.0956567
0.0933515,0.095885
0.0934012,0.0961132
0.093442,0.0963416
0.0934598,0.0965699
0.0934301,0.0967981
0.0934731,0.0970264
0.093468,0.0972547
0.0935028,0.097483
0.0935147,0.0977113
0.0935555,0.0979396
0.0935703,0.0981679
0.0935844,0.0983962
0.0936044,0.0986245
0.0936244,0.0988528
0.0936133,0.0990811
0.0936467,0.0993094
0.0936867,0.0995377
0.0937008,0.099766
0.0937297,0.0999943
0.0937356,0.100223
0.0937319,0.100451
0.0937757,0.100679
0.0937809,0.100907
0.0938016,0.101136
0.0938224,0.101364
0.0938506,0.101592
0.0938491,0.101821
