V_vs_Li,Q_mAh
0.103623,0.0367442
0.103632,0.03687
0.103621,0.0369958
0.103637,0.0371217
0.103629,0.0372475
0.103527,0.0373733
0.103532,0.0374992
0.103532,0.037625
0.103529,0.0377509
0.103537,0.0378767
0.103542,0.0380025
0.103547,0.0381284
0.103542,0.0382542
0.103564,0.03838
0.10357,0.0385059
0.103546,0.0386317
0.103537,0.0387575
0.103558,0.0388834
0.103551,0.0390092
0.103554,0.0391351
0.103574,0.0392609
0.103567,0.0393867
0.103562,0.0395126
0.103577,0.0396384
0.103585,0.0397642
0.103574,0.0398901
0.103574,0.0400159
0.103586,0.0401417
0.103582,0.0402676
0.103586,0.0403934
0.10359,0.0405193
0.103589,0.0406451
0.103592,0.0407709
0.1036,0.0408968
0.103607,0.0410226
0.103601,0.0411484
0.103603,0.0412743
0.103552,0.0414001
0.103566,0.0415259
0.10356,0.0416518
0.103566,0.0417776
0.103566,0.0419034
0.103566,0.0420293
0.103583,0.0421551
0.103577,0.042281
0.103569,0.0424068
0.103566,0.0425326
0.103577,0.0426585
0.10359,0.0427843
0.103563,0.0429101
0.103543,0.043036
0.103546,0.0431618
0.103545,0.0432876
0.103543,0.0434135
0.103539,0.0435393
0.103562,0.0436651
0.103554,0.043791
0.103559,0.0439168
0.103569,0.0440427
0.103565,0.0441685
0.103569,0.0442943
0.103581,0.0444202
0.103583,0.044546
0.103578,0.0446718
0.103584,0.0447977
0.103589,0.0449235
0.103583,0.0450493
0.103583,0.0451752
0.103584,0.045301
0.103581,0.0454269
0.103591,0.0455527
0.103594,0.0456785
0.103588,0.0458044
0.103588,0.0459302
0.103603,0.046056
0.103611,0.0461819
0.103602,0.0463077
0.103597,0.0464335
0.103605,0.0465594
0.103611,0.0466852
0.103611,0.046811
0.103609,0.0469369
0.103605,0.0470627
0.103623,0.0471886
0.103611,0.0473144
0.103621,0.0474402
0.103623,0.0475661
0.103626,0.0476919
0.103628,0.0478177
0.103629,0.0479436
0.103624,0.0480694
0.103629,0.0481952
0.103632,0.0483211
0.103626,0.0484469
0.10364,0.0485727
0.103643,0.0486986
0.10365,0.0488244
0.103649,0.0489503
0.103646,0.0490761
0.103654,0.0492019
0.103666,0.0493278
0.103653,0.0494536
0.10366,0.0495794
0.103666,0.0497053
0.103675,0.0498311
0.103667,0.0499569
0.103672,0.0500828
0.103657,0.0502086
0.103674,0.0503344
0.103674,0.0504603
0.103683,0.0505861
0.103682,0.050712
0.103675,0.0508378
0.103674,0.0509636
0.103692,0.0510895
0.103683,0.0512153
0.103696,0.0513411
0.103677,0.051467
0.103686,0.0515928
0.103685,0.0517186
0.103688,0.0518445
0.103699,0.0519703
0.103696,0.0520962
0.103696,0.052222
0.103682,0.0523478
0.103683,0.0524737
0.103677,0.0525995
0.103675,0.0527253
0.103683,0.0528512
0.103671,0.052977
0.103676,0.0531028
