V_vs_Li,Q_mAh
0.230212,0.269934
0.230268,0.270147
0.230313,0.270361
0.230377,0.270574
0.23043,0.270788
0.230499,0.271002
0.230562,0.271215
0.230609,0.271429
0.230664,0.271642
0.23071,0.271856
0.230789,0.272069
0.230834,0.272283
0.230888,0.272496
0.230949,0.27271
0.230992,0.272924
0.231064,0.273137
0.231095,0.273351
0.231165,0.273564
0.231237,0.273778
0.231281,0.273991
0.231335,0.274205
0.231403,0.274419
0.231455,0.274632
0.23152,0.274846
0.231557,0.275059
0.231621,0.275273
0.231664,0.275486
0.231738,0.2757
0.231787,0.275913
0.231827,0.276127
0.231903,0.27634
0.231943,0.276554
0.231994,0.276768
0.232048,0.276981
0.232105,0.277195
0.23218,0.277408
0.232231,0.277622
0.232294,0.277835
0.232352,0.278049
0.232404,0.278263
0.232465,0.278476
0.232497,0.27869
0.232549,0.278903
0.23259,0.279117
0.232678,0.27933
0.232734,0.279544
0.232778,0.279757
0.232842,0.279971
0.23287,0.280184
0.232951,0.280398
0.232981,0.280612
0.233046,0.280825
0.233128,0.281039
0.233154,0.281252
0.233236,0.281466
0.233256,0.281679
0.233318,0.281893
0.233364,0.282106
0.233416,0.28232
0.233481,0.282534
0.233535,0.282747
0.233576,0.282961
0.233637,0.283174
0.233703,0.283388
0.233752,0.283601
0.233812,0.283815
0.233841,0.284029
0.233912,0.284242
0.233956,0.284456
0.23402,0.284669
0.234075,0.284883
0.234145,0.285096
0.23421,0.28531
0.234259,0.285523
