"version","previous_version","relative_path","logical_path","artifact_role","extension","bytes","line_count","sha256","eol_normalized_sha256","version_token_normalized_sha256","previous_same_logical_path","byte_identical_to_previous","eol_text_identical_to_previous","version_token_text_identical_to_previous"
"v1.0.23","v1.0.22","_sections\ch1_sec06_eqpeak.tex","_sections\ch1_sec06_eqpeak.tex","SECTION_SOURCE",".tex","7092","90","98537969a8a86f323b312489ca33c2b8c6e4549392a8ad2ea7b23456d87f0726","98537969a8a86f323b312489ca33c2b8c6e4549392a8ad2ea7b23456d87f0726","98537969a8a86f323b312489ca33c2b8c6e4549392a8ad2ea7b23456d87f0726","True","True","True","False"
"v1.0.23","v1.0.22","_sections\ch1_sec07_broadening.tex","_sections\ch1_sec07_broadening.tex","SECTION_SOURCE",".tex","34461","358","38728cd4b7d04f16a8488959c325f8f89edaa6b37e6796ab81f635d57c79fe0b","38728cd4b7d04f16a8488959c325f8f89edaa6b37e6796ab81f635d57c79fe0b","38728cd4b7d04f16a8488959c325f8f89edaa6b37e6796ab81f635d57c79fe0b","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec08_lag.tex","_sections\ch1_sec08_lag.tex","SECTION_SOURCE",".tex","10884","146","a01c5394781f3674fb167846d1acc05a49c7ec2f4c419c7480a128b1c0747723","a01c5394781f3674fb167846d1acc05a49c7ec2f4c419c7480a128b1c0747723","a01c5394781f3674fb167846d1acc05a49c7ec2f4c419c7480a128b1c0747723","True","False","False","False"
"v1.0.23","v1.0.22","_sections\ch1_sec09_tail.tex","_sections\ch1_sec09_tail.tex","SECTION_SOURCE",".tex","18372","246","7fed61f947f974c21f58361519ae9cc3511ac633c3869503243a70f9cf0eef49","7fed61f947f974c21f58361519ae9cc3511ac633c3869503243a70f9cf0eef49","7fed61f947f974c21f58361519ae9cc3511ac633c3869503243a70f9cf0eef49","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec10_sum.tex","_sections\ch1_sec10_sum.tex","SECTION_SOURCE",".tex","15794","171","5edccc997672641f6722cf9eae80cb93c83345f5cc9cfaa205f500a57c16de6e","5edccc997672641f6722cf9eae80cb93c83345f5cc9cfaa205f500a57c16de6e","5edccc997672641f6722cf9eae80cb93c83345f5cc9cfaa205f500a57c16de6e","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec11_lcointro.tex","_sections\ch1_sec11_lcointro.tex","SECTION_SOURCE",".tex","14923","176","c424dc1842b9b169971cdcd0a7a09ab36c3aa8409c8d0a3cbf45571ec199c2e8","c424dc1842b9b169971cdcd0a7a09ab36c3aa8409c8d0a3cbf45571ec199c2e8","c424dc1842b9b169971cdcd0a7a09ab36c3aa8409c8d0a3cbf45571ec199c2e8","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec12_lcocenter.tex","_sections\ch1_sec12_lcocenter.tex","SECTION_SOURCE",".tex","10456","113","1011c32c6019790ff2fffa048938a4bc452782fad8e5939b7900faeb4f957dcb","1011c32c6019790ff2fffa048938a4bc452782fad8e5939b7900faeb4f957dcb","1011c32c6019790ff2fffa048938a4bc452782fad8e5939b7900faeb4f957dcb","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec13_lcohys.tex","_sections\ch1_sec13_lcohys.tex","SECTION_SOURCE",".tex","17173","224","675ab1e3d1af817b7d1bc4a1f01bd3e557b6db893b784983016a0a77f00bb4c6","675ab1e3d1af817b7d1bc4a1f01bd3e557b6db893b784983016a0a77f00bb4c6","675ab1e3d1af817b7d1bc4a1f01bd3e557b6db893b784983016a0a77f00bb4c6","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec14_lcodecomp.tex","_sections\ch1_sec14_lcodecomp.tex","SECTION_SOURCE",".tex","13256","144","ee4404d377d0552c4f940237c89f4b6d3e5210a51d7941c63230c97622f5f389","ee4404d377d0552c4f940237c89f4b6d3e5210a51d7941c63230c97622f5f389","ee4404d377d0552c4f940237c89f4b6d3e5210a51d7941c63230c97622f5f389","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec15_lcoelec.tex","_sections\ch1_sec15_lcoelec.tex","SECTION_SOURCE",".tex","38030","397","e3c06fb930e2ed2ba8846dead8b5e334904e90b96a890155f3979871f7b7a426","e3c06fb930e2ed2ba8846dead8b5e334904e90b96a890155f3979871f7b7a426","e3c06fb930e2ed2ba8846dead8b5e334904e90b96a890155f3979871f7b7a426","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec16_lcopeak.tex","_sections\ch1_sec16_lcopeak.tex","SECTION_SOURCE",".tex","5182","71","857e7f22280f5fa90d0e69117a2d1694149b0a2088cfd137454e5d1fbb24dfec","857e7f22280f5fa90d0e69117a2d1694149b0a2088cfd137454e5d1fbb24dfec","857e7f22280f5fa90d0e69117a2d1694149b0a2088cfd137454e5d1fbb24dfec","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec17_msmr.tex","_sections\ch1_sec17_msmr.tex","SECTION_SOURCE",".tex","13958","177","ab561738a1431536b83e70d7460b8ad3893807634135deae8a614b7fc50af05c","ab561738a1431536b83e70d7460b8ad3893807634135deae8a614b7fc50af05c","ab561738a1431536b83e70d7460b8ad3893807634135deae8a614b7fc50af05c","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1_sec18_inputs.tex","_sections\ch1_sec18_inputs.tex","SECTION_SOURCE",".tex","5231","71","abf93e7cd03e20d1a7c2e6bbfffe297d4a42ca325ea0a34a7c98b4db12736fcb","abf93e7cd03e20d1a7c2e6bbfffe297d4a42ca325ea0a34a7c98b4db12736fcb","abf93e7cd03e20d1a7c2e6bbfffe297d4a42ca325ea0a34a7c98b4db12736fcb","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch1v22_bib.tex","_sections\ch1v22_bib.tex","SECTION_SOURCE",".tex","14500","55","1da789277301fd9418eb5db578123cf234708b1161fd57193d84b66a5adebbab","1da789277301fd9418eb5db578123cf234708b1161fd57193d84b66a5adebbab","1da789277301fd9418eb5db578123cf234708b1161fd57193d84b66a5adebbab","True","False","False","False"
"v1.0.23","v1.0.22","_sections\ch1v22_partT_divider.tex","_sections\ch1v22_partT_divider.tex","SECTION_SOURCE",".tex","1117","15","1113e3f0288d5697ffdb1f394ecd1b8da6f40cbd7ba519ff81821d4846f2741c","1113e3f0288d5697ffdb1f394ecd1b8da6f40cbd7ba519ff81821d4846f2741c","1113e3f0288d5697ffdb1f394ecd1b8da6f40cbd7ba519ff81821d4846f2741c","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch2_appA_traps.tex","_sections\ch2_appA_traps.tex","SECTION_SOURCE",".tex","4253","76","8ad6625c9a4cd51fa09b7a1ee8490ae4b5b89d043578f0ed61e6376d5e3f1fe8","8ad6625c9a4cd51fa09b7a1ee8490ae4b5b89d043578f0ed61e6376d5e3f1fe8","8ad6625c9a4cd51fa09b7a1ee8490ae4b5b89d043578f0ed61e6376d5e3f1fe8","True","True","True","True"
"v1.0.23","v1.0.22","_sections\ch2_appB_codemap.tex","_sections\ch2_appB_codemap.tex","SECTION_SOURCE",".tex","5722","76","847b4fb19080ed099c9c23c2454f6d2e370b1f1db7415d6d8bdbbb2625275092","847b4fb19080ed099c9c23c2454f6d2e370b1f1db7415d6d8bdbbb2625275092","847b4fb19080ed099c9c23c2454f6d2e370b1f1db7415d6d8bdbbb2625275092","True","True","True","True"
